2025-02-24 07:42:44 status half-configured libgssapi-krb5-2:arm64 1.17-6ubuntu4.7
2025-02-24 07:42:45 status unpacked libgssapi-krb5-2:arm64 1.17-6ubuntu4.7
2025-02-24 07:42:45 status half-installed libgssapi-krb5-2:arm64 1.17-6ubuntu4.7
2025-02-24 07:42:45 status unpacked libgssapi-krb5-2:arm64 1.17-6ubuntu4.8
2025-02-24 07:42:46 upgrade libkrb5-3:arm64 1.17-6ubuntu4.7 1.17-6ubuntu4.8
2025-02-24 07:42:46 status half-configured libkrb5-3:arm64 1.17-6ubuntu4.7
2025-02-24 07:42:46 status unpacked libkrb5-3:arm64 1.17-6ubuntu4.7
2025-02-24 07:42:46 status half-installed libkrb5-3:arm64 1.17-6ubuntu4.7
2025-02-24 07:42:47 status unpacked libkrb5-3:arm64 1.17-6ubuntu4.8
2025-02-24 07:42:47 upgrade libkrb5support0:arm64 1.17-6ubuntu4.7 1.17-6ubuntu4.8
2025-02-24 07:42:47 status half-configured libkrb5support0:arm64 1.17-6ubuntu4.7
2025-02-24 07:42:47 status unpacked libkrb5support0:arm64 1.17-6ubuntu4.7
2025-02-24 07:42:47 status half-installed libkrb5support0:arm64 1.17-6ubuntu4.7
2025-02-24 07:42:48 status unpacked libkrb5support0:arm64 1.17-6ubuntu4.8
2025-02-24 07:42:48 upgrade libcom-err2:arm64 1.45.5-2ubuntu1.1 1.45.5-2ubuntu1.2
2025-02-24 07:42:48 status half-configured libcom-err2:arm64 1.45.5-2ubuntu1.1
2025-02-24 07:42:48 status unpacked libcom-err2:arm64 1.45.5-2ubuntu1.1
2025-02-24 07:42:48 status half-installed libcom-err2:arm64 1.45.5-2ubuntu1.1
2025-02-24 07:42:49 status unpacked libcom-err2:arm64 1.45.5-2ubuntu1.2
2025-02-24 07:42:49 upgrade libsmbclient:arm64 2:4.15.13+dfsg-0ubuntu0.20.04.7 2:4.15.13+dfsg-0ubuntu0.20.04.8
2025-02-24 07:42:49 status half-configured libsmbclient:arm64 2:4.15.13+dfsg-0ubuntu0.20.04.7
2025-02-24 07:42:49 status unpacked libsmbclient:arm64 2:4.15.13+dfsg-0ubuntu0.20.04.7
2025-02-24 07:42:50 status half-installed libsmbclient:arm64 2:4.15.13+dfsg-0ubuntu0.20.04.7
2025-02-24 07:42:50 status unpacked libsmbclient:arm64 2:4.15.13+dfsg-0ubuntu0.20.04.8
2025-02-24 07:42:51 upgrade libtasn1-6:arm64 4.16.0-2 4.16.0-2ubuntu0.1
2025-02-24 07:42:51 status half-configured libtasn1-6:arm64 4.16.0-2
2025-02-24 07:42:51 status unpacked libtasn1-6:arm64 4.16.0-2
2025-02-24 07:42:51 status half-installed libtasn1-6:arm64 4.16.0-2
